target,successful objection must produce
Endpoint under audit,Show target fixation assumes SphereRead(M)
Pointwise endpoint use,Show arbitrary M under universal endpoint is not under pointwise endpoint audit
Carrier instantiation,Produce closed connected simply connected 3-manifold not represented by C_PC(M)
Kernel adequacy,Preserve theorem-bearing endpoint use while denying target determinacy standing admissibility or irreversibility
Native normal form,Produce Poincare counterexample not expressible as Stand_PC(M) and not SphereRead(M)
Bridge correspondence,Show PCNeg is not sphere-bridge image exclusion
Theorem-level discriminator,Show official bridge exclusion does not classify endpoint status
No hidden fifth case,Inhabit endpoint-resolving fixed-carrier non-governing negative use
Independent discriminator,Show endpoint-governing negative use is not second endpoint authority
No independent discriminator,Show independent same-domain sphere authority compatible with K_PC
Weakening-resistance,"Define a weaker regime W preserving fixed carrier target-slot fixation minimal report evaluability standing-admissibility discipline and no carrier shift while permitting negative endpoint governance that is not support bridge completion coequal target role bookkeeping or second endpoint authority"
Sphere-bridge object,Identify a B1-B7 clause in B^PC(M) that smuggles SphereRead(M) changes carrier or fails to preserve the official endpoint interface
Bridge-complete readout,Produce a completed sphere-bridge object that does not imply M homeomorphic to S3
Local reductio annotation,Show the exact-complement annotation is an added object-level premise rather than proof-act metadata
Local countercase projection,Produce fixed-standing non-spherehood that blocks sphere-readout while not projecting to local sphere-bridge image exclusion
Annotation discharge,Show the local contradiction discharges only a strengthened premise rather than not SphereRead(M)
Final correspondence,Show not PCNeg(M) fails to imply M homeomorphic to S3 under fixed standing
