source_support_cluster,score,source_id,paper_title,source_file,section_or_page,object_type,object_name,short_claim_summary,verbatim_or_near_verbatim_claim,citation_pointer,version_preference_status,canonical_status,AASC_family,AASC_subfamily,kernel_role,interface_role,closure_role,gate_role,impossibility_role,construction_role,licenses,forbids,dependencies,downstream_uses
Non-Degenerate Construction and the Kernel of Admissibility,48,ERK20260527-New_erk_files_May_35B594-DEF-004,"Non-Degenerate Construction and the Kernel of Admissibility An Exhaustion Theorem for Standing, Reference, and Irreversibility",New_erk_files_May_27_Non_Degenerate_Construction_and_the_Kernel_of_Admissibility.pdf,Page 8; formal number 2.5,Definition,Governed construction and non-degenerate construction,"Let X be a target object on a fixed domain D. A governed construction of X, written Constr(X), is a raw step-sequence on D that preserves, at each step, determinate reference to X, standing of the step as an admissible construction step, and irreversibility of inadmissible steps. A governed construction is non-degenerate iff those three conditions hold...","Definition 2.5 (Governed construction and non-degenerate construction). Let X be a target object on a fixed domain D. A governed construction of X, written Constr(X), is a raw step-sequence on D that preserves, at each step, determinate reference to X, standing of the step as an admissible construction step, and irreversibility of inadmissible steps. A governed construction is non-degenerate iff those three conditions hold together on the same fixed domain. A regime is degenerate relative to the present target iff it may still compute, transform, symbolize, or produce outputs but fails to preserve target identity, admissible stephood, act-time finality, or redescription fidelity as conditions of determinate same-domain construction. This definition is classificatory rather than generative: it does not assume that all raw step-sequences already count as governed constructions, but distinguishes exactly those sequences for which admissibility-assessable construction is well-defined on the fixed domain. Admissibility is not a fifth ingredient placed beside reference, standing, and irreversibility; it names the governance boundary under which those three conditions are jointly enforceable on the same sequence.","New_erk_files_May_27_Non_Degenerate_Construction_and_the_Kernel_of_Admissibility.pdf, p. 8",Preferred hardened version,Preferred hardened candidate from May 27 ERK source PDF,Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Controls AASC interface formation, metric/nonmetric status, admissible interior, quotient/projection, or bookkeeping interpretation.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,,"Controls admissible construction or application in a formal, physical, agentic, numerical, or engineering regime.",kernel-consistent AASC deployment; interface-safe reconstruction; closure-controlled downstream use; gated admissibility evaluation; typed AASC construction under fixed scope,"ungated scope transport or modality laundering; unlicensed numerical fit, parameter import, or empirical value laundering",As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; AMetric/interface/interior arcs; closure/exhaustion/rigidity mapping; gate/validator architecture
Non-Degenerate Construction and the Kernel of Admissibility,48,ERK20260527-New_erk_files_May_35B594-DEF-010,"Non-Degenerate Construction and the Kernel of Admissibility An Exhaustion Theorem for Standing, Reference, and Irreversibility",New_erk_files_May_27_Non_Degenerate_Construction_and_the_Kernel_of_Admissibility.pdf,Page 10; formal number 2.12,Definition,Externally proposed construction or derivation system,"Let Σ be any purported construction system, derivation system, meta-theory, logical framework, encoding, or external presentation under which a statement P is said to be derivable. We say that Σ is kernel-respecting with respect to P iff the admissibility conditions under which sequences in Σ count as governed constructions already enforce P , some...","Definition 2.12 (Externally proposed construction or derivation system). Let Σ be any purported construction system, derivation system, meta-theory, logical framework, encoding, or external presentation under which a statement P is said to be derivable. We say that Σ is kernel-respecting with respect to P iff the admissibility conditions under which sequences in Σ count as governed constructions already enforce P , some governance-equivalent condition, or some condition whose own admissibility already requires P . This definition classifies the admissibility conditions of Σ; whether a non-kernel-respecting system can still count as a system of non-degenerate construction for the present target is a theorem proved below, not a stipulation built into the definition.","New_erk_files_May_27_Non_Degenerate_Construction_and_the_Kernel_of_Admissibility.pdf, p. 10",Preferred hardened version,Preferred hardened candidate from May 27 ERK source PDF,Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.",,"Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",,,"Controls admissible construction or application in a formal, physical, agentic, numerical, or engineering regime.",kernel-consistent AASC deployment; closure-controlled downstream use; typed AASC construction under fixed scope,"Do not use outside fixed scope, as a free generator, or as an unlicensed cross-arc transport.",As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; closure/exhaustion/rigidity mapping
Non-Degenerate Construction and the Kernel of Admissibility,48,ERK20260527-New_erk_files_May_35B594-DEF-011,"Non-Degenerate Construction and the Kernel of Admissibility An Exhaustion Theorem for Standing, Reference, and Irreversibility",New_erk_files_May_27_Non_Degenerate_Construction_and_the_Kernel_of_Admissibility.pdf,Page 10; formal number 2.13,Definition,Kernel of non-degenerate construction,"The kernel of non-degenerate construction is the governance-role set K := {Adm, St, Ref, Irr}, where Adm abbreviates admissibility, St standing, Ref reference, and Irr irreversibility. The minimality and uniqueness claims below concern governance roles and governance work on the fixed domain, not uniqueness of one four-part bookkeeping decomposition.","Definition 2.13 (Kernel of non-degenerate construction). The kernel of non-degenerate construction is the governance-role set K := {Adm, St, Ref, Irr}, where Adm abbreviates admissibility, St standing, Ref reference, and Irr irreversibility. The minimality and uniqueness claims below concern governance roles and governance work on the fixed domain, not uniqueness of one four-part bookkeeping decomposition.","New_erk_files_May_27_Non_Degenerate_Construction_and_the_Kernel_of_Admissibility.pdf, p. 10",Preferred hardened version,Preferred hardened candidate from May 27 ERK source PDF,Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Controls AASC interface formation, metric/nonmetric status, admissible interior, quotient/projection, or bookkeeping interpretation.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",,,"Controls admissible construction or application in a formal, physical, agentic, numerical, or engineering regime.",kernel-consistent AASC deployment; interface-safe reconstruction; closure-controlled downstream use; typed AASC construction under fixed scope,"Do not use outside fixed scope, as a free generator, or as an unlicensed cross-arc transport.",As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; AMetric/interface/interior arcs; closure/exhaustion/rigidity mapping
Non-Degenerate Construction and the Kernel of Admissibility,48,ERK20260527-New_erk_files_May_35B594-THM-004,"Non-Degenerate Construction and the Kernel of Admissibility An Exhaustion Theorem for Standing, Reference, and Irreversibility",New_erk_files_May_27_Non_Degenerate_Construction_and_the_Kernel_of_Admissibility.pdf,Page 15; formal number 2.29,Theorem,Non-degenerate construction forces the kernel,"If a meaningful regime admits non-degenerate construction in the sense of Definition 2.5, then the full kernel K is already in force in that regime. Equivalently, no meaningful regime supports non-degenerate construction in that sense while lacking admissibility, standing, reference, irreversibility, or some governance-equivalent replacement for one of them.","Theorem 2.29 (Non-degenerate construction forces the kernel). If a meaningful regime admits non-degenerate construction in the sense of Definition 2.5, then the full kernel K is already in force in that regime. Equivalently, no meaningful regime supports non-degenerate construction in that sense while lacking admissibility, standing, reference, irreversibility, or some governance-equivalent replacement for one of them.","New_erk_files_May_27_Non_Degenerate_Construction_and_the_Kernel_of_Admissibility.pdf, p. 15",Preferred hardened version,Preferred hardened candidate from May 27 ERK source PDF,Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Controls AASC interface formation, metric/nonmetric status, admissible interior, quotient/projection, or bookkeeping interpretation.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",,,"Controls admissible construction or application in a formal, physical, agentic, numerical, or engineering regime.",kernel-consistent AASC deployment; interface-safe reconstruction; closure-controlled downstream use; typed AASC construction under fixed scope,"Do not use outside fixed scope, as a free generator, or as an unlicensed cross-arc transport.",As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; AMetric/interface/interior arcs; closure/exhaustion/rigidity mapping
Non-Degenerate Construction and the Kernel of Admissibility,48,ERK20260527-New_erk_files_May_35B594-COR-002,"Non-Degenerate Construction and the Kernel of Admissibility An Exhaustion Theorem for Standing, Reference, and Irreversibility",New_erk_files_May_27_Non_Degenerate_Construction_and_the_Kernel_of_Admissibility.pdf,Page 16; formal number 2.30,Corollary,No non-degenerate regime below the kernel,No meaningful regime can both support non-degenerate construction in the sense of Definition 2.5 and generate any member of K from a strictly lower governance-free basis while remaining within that same fixed domain.,Corollary 2.30 (No non-degenerate regime below the kernel). No meaningful regime can both support non-degenerate construction in the sense of Definition 2.5 and generate any member of K from a strictly lower governance-free basis while remaining within that same fixed domain.,"New_erk_files_May_27_Non_Degenerate_Construction_and_the_Kernel_of_Admissibility.pdf, p. 16",Preferred hardened version,Preferred hardened candidate from May 27 ERK source PDF,Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Controls AASC interface formation, metric/nonmetric status, admissible interior, quotient/projection, or bookkeeping interpretation.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",,,"Controls admissible construction or application in a formal, physical, agentic, numerical, or engineering regime.",kernel-consistent AASC deployment; interface-safe reconstruction; closure-controlled downstream use; typed AASC construction under fixed scope,"Do not use outside fixed scope, as a free generator, or as an unlicensed cross-arc transport.",As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; AMetric/interface/interior arcs; closure/exhaustion/rigidity mapping
Claim Standing and Legitimacy,48,ERK20260527-New_erk_files_May_AF0C6B-DEF-001,Claim Standing and Legitimacy A Universal Audit Protocol for Laundering Exclusion and Reportable Output,New_erk_files_May_27_Claim_Standing_and_Legitimacy.pdf,Page 11; formal number F,Definition,ixes an audit object or status rule,"Definition Fixes an audit object or status rule. Claim, target, carrier, freedom ledger, skin, report object, blocker set. Protocol theorem Derives a status consequence from the Freedom exhaustion, laundering UEAP audit objects. exclusion, calibration-only, boundary declaration, report preservation, unique status assignment. Kernel theorem Supplies the...","Definition Fixes an audit object or status rule. Claim, target, carrier, freedom ledger, skin, report object, blocker set. Protocol theorem Derives a status consequence from the Freedom exhaustion, laundering UEAP audit objects. exclusion, calibration-only, boundary declaration, report preservation, unique status assignment. Kernel theorem Supplies the deeper rationale for why the Reference as target fixation, standing as audit roles are not optional. carrier eligibility, admissibility as licensed continuation, irreversibility as no same-act repair.","New_erk_files_May_27_Claim_Standing_and_Legitimacy.pdf, p. 11",Preferred hardened version,Preferred hardened candidate from May 27 ERK source PDF,Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.",,"Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,,,kernel-consistent AASC deployment; closure-controlled downstream use; gated admissibility evaluation,"ungated scope transport or modality laundering; unlicensed numerical fit, parameter import, or empirical value laundering",As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; closure/exhaustion/rigidity mapping; gate/validator architecture
Claim Standing and Legitimacy,48,ERK20260527-New_erk_files_May_AF0C6B-DEF-005,Claim Standing and Legitimacy A Universal Audit Protocol for Laundering Exclusion and Reportable Output,New_erk_files_May_27_Claim_Standing_and_Legitimacy.pdf,Page 12; formal number 3.5,Definition,Freedom ledger,"The freedom ledger of a claim is μD (c) = {μtarget , μcarrier , μmeaning , μscope , μrep , μcontext , μbaseline , μ, μevidence , μreport }.","Definition 3.5 (Freedom ledger). The freedom ledger of a claim is μD (c) = {μtarget , μcarrier , μmeaning , μscope , μrep , μcontext , μbaseline , μ, μevidence , μreport }.","New_erk_files_May_27_Claim_Standing_and_Legitimacy.pdf, p. 12",Preferred hardened version,Preferred hardened candidate from May 27 ERK source PDF,AI / epistemic-agent / governance layer,"AI claim standing, success-vs-truth, validator, agent instantiation, liability","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.",,,Gate/envelope/scope/modality/classification/audit-control role.,,,kernel-consistent AASC deployment; gated admissibility evaluation,ungated scope transport or modality laundering,As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; gate/validator architecture
Claim Standing and Legitimacy,48,ERK20260527-New_erk_files_May_AF0C6B-DEF-006,Claim Standing and Legitimacy A Universal Audit Protocol for Laundering Exclusion and Reportable Output,New_erk_files_May_27_Claim_Standing_and_Legitimacy.pdf,Page 13; formal number 3.6,Definition,Skin relation,"Two presentations of a claim are skin-equivalent, written c1 ∼Skin c2 , when their difference changes only wording, notation, formatting, harmless encoding, chart choice, line labels, or representative convention while preserving target, carrier, scope, ancestry, evidence status, and reportable output.","Definition 3.6 (Skin relation). Two presentations of a claim are skin-equivalent, written c1 ∼Skin c2 , when their difference changes only wording, notation, formatting, harmless encoding, chart choice, line labels, or representative convention while preserving target, carrier, scope, ancestry, evidence status, and reportable output.","New_erk_files_May_27_Claim_Standing_and_Legitimacy.pdf, p. 13",Preferred hardened version,Preferred hardened candidate from May 27 ERK source PDF,AI / epistemic-agent / governance layer,"AI claim standing, success-vs-truth, validator, agent instantiation, liability","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.",,"Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,,,kernel-consistent AASC deployment; closure-controlled downstream use; gated admissibility evaluation,ungated scope transport or modality laundering,As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; closure/exhaustion/rigidity mapping; gate/validator architecture
Claim Standing and Legitimacy,48,ERK20260527-New_erk_files_May_AF0C6B-DEF-007,Claim Standing and Legitimacy A Universal Audit Protocol for Laundering Exclusion and Reportable Output,New_erk_files_May_27_Claim_Standing_and_Legitimacy.pdf,Page 13; formal number 3.7,Definition,Admissible realization set,"The admissible realization set AdmRealD (c) is the class of claim-realizations that remain after target, carrier, domain, ancestry, alternative, laundering, evidence, and reportability constraints have been applied.","Definition 3.7 (Admissible realization set). The admissible realization set AdmRealD (c) is the class of claim-realizations that remain after target, carrier, domain, ancestry, alternative, laundering, evidence, and reportability constraints have been applied.","New_erk_files_May_27_Claim_Standing_and_Legitimacy.pdf, p. 13",Preferred hardened version,Preferred hardened candidate from May 27 ERK source PDF,AI / epistemic-agent / governance layer,"AI claim standing, success-vs-truth, validator, agent instantiation, liability","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.",,,Gate/envelope/scope/modality/classification/audit-control role.,,,kernel-consistent AASC deployment; gated admissibility evaluation,ungated scope transport or modality laundering,As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; gate/validator architecture
Claim Standing and Legitimacy,48,ERK20260527-New_erk_files_May_AF0C6B-THM-001,Claim Standing and Legitimacy A Universal Audit Protocol for Laundering Exclusion and Reportable Output,New_erk_files_May_27_Claim_Standing_and_Legitimacy.pdf,Page 14; formal number 4.4,Theorem,Claim-Failure Coordinate Exhaustion,"Let v be any non-skin variation of a pre-audit frame Fc . If v can change the strongest defensible report status of c, then v alters at least one coordinate of (T, C, S, R, A, D, E, P, U ). Equivalently, any status-relevant claim failure must appear as target failure, carrier failure, semantic failure, representative/redescription failure,...","Theorem 4.4 (Claim-Failure Coordinate Exhaustion). Let v be any non-skin variation of a pre-audit frame Fc . If v can change the strongest defensible report status of c, then v alters at least one coordinate of (T, C, S, R, A, D, E, P, U ). Equivalently, any status-relevant claim failure must appear as target failure, carrier failure, semantic failure, representative/redescription failure, ancestry/calibration failure, domain/scope/boundary failure, evidence-network failure, report/use failure, or requested-status failure.","New_erk_files_May_27_Claim_Standing_and_Legitimacy.pdf, p. 14",Preferred hardened version,Preferred hardened candidate from May 27 ERK source PDF,AI / epistemic-agent / governance layer,"AI claim standing, success-vs-truth, validator, agent instantiation, liability","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.",,"Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,,,kernel-consistent AASC deployment; closure-controlled downstream use; gated admissibility evaluation,"ungated scope transport or modality laundering; unlicensed numerical fit, parameter import, or empirical value laundering",As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; closure/exhaustion/rigidity mapping; gate/validator architecture
