category,score,source_id,paper_title,source_file,section_or_page,object_type,object_name,short_claim_summary,verbatim_or_near_verbatim_claim,citation_pointer,version_preference_status,canonical_status,AASC_family,AASC_subfamily,kernel_role,interface_role,closure_role,gate_role,impossibility_role,construction_role
A_bridge_endpoint,34,AASC-EX6-DEF-12-1,Endpoint and Boundary Exactness,EX6 Endpoint and Boundary Exactness/EX6__Endpoint_and_Boundary_Exactness.pdf,EX6 p. 11 / Definition 12.1,Definition,Boundary-trace fiber,BTrFibD (x) = {τ : τ is an admissible declared boundary trace compatible with BD (x)}.,BTrFibD (x) = {τ : τ is an admissible declared boundary trace compatible with BD (x)}. Boundary trace status EX6 meaning absent no boundary fixation exists singleton stable boundary-fix candidate multiple boundary ambiguity remains unstable boundary role fails closed outcome-conditioned hidden selector calibration-derived EX5 blocked undeclared scope extension or inadmissible import,EX6 Definition 12.1,,Canonical uploaded PDF source; object-level row may later be merged with exact duplicate/reformulation if corpus-wide duplicate found.,General AASC numerical-exactness / extraction / reportability layer,Exactness ARC,,,,Classification/gating boundary for exactness status,Exclusion / nonpromotion / no-laundering constraint,Controls admissible numerical construction and exactness reporting
A_bridge_endpoint,34,MIL-MILLENNIUM_ZIP_Carrier_Universalit_9AAFB1-THM-085,Carrier Universality and Global Smoothness for the Periodic 3D Navier-Stokes Equations A closure-induced impossibility proof of Feffermanś periodic statement (B),MILLENNIUM_ZIP_Carrier_Universality_and_Global_Smoothness_for_the_Periodic_3D_Navier_Stokes_Equations.pdf,Page 153; formal number 21.17,Theorem,standing-failure branch theorem-local,"standing-failure branch theorem-local before the endpoint compression. Local analytic Appendix B: Proposition B.1 through Supplies the exact periodic realization packet Corollary B.8 local-PDE inputs used in the (self-contained) realization bridge. Broader context or The continuation-mechanism / existence Useful for comparison, translation, provenance only reformulations of...","Theorem 21.17 standing-failure branch theorem-local before the endpoint compression. Local analytic Appendix B: Proposition B.1 through Supplies the exact periodic realization packet Corollary B.8 local-PDE inputs used in the (self-contained) realization bridge. Broader context or The continuation-mechanism / existence Useful for comparison, translation, provenance only reformulations of Sections 13.2B-13.2D; provenance, and later hardening (non-load-bearing) Appendices C-D; bibliography items directions, but not needed to retained for history/source traceability; complete the endpoint proof once the and the external corpus titles recorded only live source freeze is enforced. in the Phase-0 source-role matrix","MILLENNIUM_ZIP_Carrier_Universality_and_Global_Smoothness_for_the_Periodic_3D_Navier_Stokes_Equations.pdf, p. 153",,Candidate canonical object from source PDF,Closure / impossibility / exhaustion layer,"closure, exhaustion, impossibility, no-repair, no-generator, no-carrier control","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, well-definedness, or irreversibility.",,"Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, gap/smoothness, forced-existence, forcing, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,"Blocks illicit primitive, repair, surrogate, overreach, compatibility, sector, or standing-laundering moves.","Controls admissible construction or application in a formal, physical, analytic, sector, numerical, or engineering regime."
A_bridge_endpoint,33,AOTCS-CS_ARC_CS2_Same_C10F5F-DEF-003,"Same-Target Alignment of Spectral, Mixing, and Residue Carriers in the Cross-Sector Singleton ARC Admissibility And Standing Constraint (AASC) Cross-Sector Singleton Candidates ARC, Paper II",CS_ARC_CS2_Same_Target_Alignment_of_Spectral__Mixing__and_Residue_Carriers.pdf,Page 8; formal number 3.3,Definition,Residue node,"A residue node is a finite or quotient-level object that survives admissible redescription and may constrain value class, chamber, branch, endpoint, phase, holonomy, charge class, family ledger, or boundary trace. Examples include δl = 2/9, Z3 structure, finite holonomy classes, boundary trace residues, and family-cardinality records.","Definition 3.3 (Residue node). A residue node is a finite or quotient-level object that survives admissible redescription and may constrain value class, chamber, branch, endpoint, phase, holonomy, charge class, family ledger, or boundary trace. Examples include δl = 2/9, Z3 structure, finite holonomy classes, boundary trace residues, and family-cardinality records.","CS_ARC_CS2_Same_Target_Alignment_of_Spectral__Mixing__and_Residue_Carriers.pdf, p. 8",,Candidate canonical object from source PDF,Physics structural-recovery layer,"Standard Model, gauge, charge, chiral, Yukawa, mass, mixing, phase, holonomy recovery","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, or irreversibility.","Controls AASC interface formation, metric/nonmetric status, admissible interior, quotient/projection, or bookkeeping interpretation.",,Gate/envelope/scope/modality/classification/audit-control role.,,"Controls admissible construction or application in a formal, physical, agentic, numerical, or engineering regime."
A_bridge_endpoint,32,AASC-EX6-DEF-8-1,Endpoint and Boundary Exactness,EX6 Endpoint and Boundary Exactness/EX6__Endpoint_and_Boundary_Exactness.pdf,EX6 p. 9 / Definition 8.1,Definition,Endpoint-skin,"Two endpoint branches satisfy e1 ∼Eskin e2 iff their difference preserves standing-bearing carrier identity, declared domain identity, operator/evaluation domain, admissible realization structure, boundary trace, exactness status, and terminal endpoint-refi...","Two endpoint branches satisfy e1 ∼Eskin e2 iff their difference preserves standing-bearing carrier identity, declared domain identity, operator/evaluation domain, admissible realization structure, boundary trace, exactness status, and terminal endpoint-refinement outcome.",EX6 Definition 8.1,,Canonical uploaded PDF source; object-level row may later be merged with exact duplicate/reformulation if corpus-wide duplicate found.,General AASC numerical-exactness / extraction / reportability layer,Exactness ARC,,,,Classification/gating boundary for exactness status,,Controls admissible numerical construction and exactness reporting
A_bridge_endpoint,32,ERK20260527-New_erk_files_May_C624FE-CLM-002,"The Standalone Standard Model Structure from First Principles An AASC Derivation of Gauge-Product, Representation, Higgs/Bridge, Yukawa, Charge, Anomaly, Vacuum, and Parameter-Status Structure",New_erk_files_May_27_The_Standalone_Standard_Model_Structure_from_First_Principles.pdf,Page 53; formal number P,Claim,rimary support Spine use Status,Claim Primary support Spine use Status Charged-lepton role CLM; CLQ; CLR phase/carrier input for module / residue is 2/9 first parameter module conditional Carrier radius is fixed CLQ; CLR forces η 2 = 1/2 achieved in by Kl = 2/3 module Z3 -circulant carrier CLR v4.6 charged-lepton first achieved gives one-anchor parameter-sector conditional on readout...,"Claim Primary support Spine use Status Charged-lepton role CLM; CLQ; CLR phase/carrier input for module / residue is 2/9 first parameter module conditional Carrier radius is fixed CLQ; CLR forces η 2 = 1/2 achieved in by Kl = 2/3 module Z3 -circulant carrier CLR v4.6 charged-lepton first achieved gives one-anchor parameter-sector conditional on readout endpoint same coordinate carrier admission Observed mμ , mτ are CLN; CLR; CLS calibration firewall achieved by not construction dependency inputs graph","New_erk_files_May_27_The_Standalone_Standard_Model_Structure_from_First_Principles.pdf, p. 53",Preferred hardened version,Preferred hardened candidate from May 27 ERK source PDF,Physics structural-recovery layer,"Standard Model, gauge, charge, chiral, Yukawa, mass, mixing, phase, holonomy recovery",,,"Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",,,"Controls admissible construction or application in a formal, physical, agentic, numerical, or engineering regime."
A_bridge_endpoint,31,GRR-Gauge_Vacuum_Compatibility_351216-DEF-004,"Gauge-Vacuum Compatibility Vacuum Standing, Symmetry-Breaking Admissibility, and the Bridge to Mass-Generation Rigidity",Gauge_Vacuum_Compatibility.pdf,Page 8; formal number 5.4,Definition,Gauge-vacuum compatibility,"GVac∂D (VD , ZD ) holds when the vacuum-supported ledger preserves: local transition organization; transport comparison; loop residue; representation response; charge witnesses; anomaly neutrality; particle/excitation distinction; field-carrier baseline; quotient comparison; bounded transport; boundary traces; deformation-response baseline; and restoration...","Definition 5.4 (Gauge-vacuum compatibility). GVac∂D (VD , ZD ) holds when the vacuum-supported ledger preserves: local transition organization; transport comparison; loop residue; representation response; charge witnesses; anomaly neutrality; particle/excitation distinction; field-carrier baseline; quotient comparison; bounded transport; boundary traces; deformation-response baseline; and restoration baseline.","Gauge_Vacuum_Compatibility.pdf, p. 8",,Candidate canonical object from source PDF,Physics structural-recovery layer,"Standard Model, gauge, charge, chiral, Yukawa, mass, mixing, phase, holonomy recovery","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, or irreversibility.","Controls AASC interface formation, metric/nonmetric status, admissible interior, quotient/projection, or bookkeeping interpretation.",,Gate/envelope/scope/modality/classification/audit-control role.,,"Controls admissible construction or application in a formal, physical, agentic, or engineering regime."
B_role_compression,31,SMR-Abelian_Charge_Ratio_Rigidity_67EFF9-EXM-001,"Abelian Charge-Ratio Rigidity in the Admissible Gauge Arena Normalization, Ratio, and Abelian Role-Standing over the SR3 Representation Survivor Class SR4 - Standard-Model Realization Rigidity Arc",Abelian_Charge_Ratio_Rigidity_in_the_Admissible_Gauge_Arena.pdf,Page 23; formal number 26.1,Example,Finite charge-role compression,"Let R1 , R2 , R3 be SR3-surviving representationresponse roles. Consider raw charge coordinate presentations","Example 26.1 (Finite charge-role compression). Let R1 , R2 , R3 be SR3-surviving representationresponse roles. Consider raw charge coordinate presentations","Abelian_Charge_Ratio_Rigidity_in_the_Admissible_Gauge_Arena.pdf, p. 23",,Candidate canonical object from source PDF,Physics structural-recovery layer,"Standard Model, gauge, charge, chiral, Yukawa, mass, mixing, phase, holonomy recovery","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, or irreversibility.",,,,,"Controls admissible construction or application in a formal, physical, agentic, or engineering regime."
B_role_compression,31,SMR-Residual_Vacuum_Sector_Rigidity_30F37D-EXM-001,Residual Vacuum-Sector Rigidity in the Admissible Gauge Arena Residual Normal-Form Collapse over the SR5 Anomaly Survivor Class SR6 - Standard-Model Realization Rigidity Arc,Residual_Vacuum_Sector_Rigidity_in_the_Admissible_Gauge_Arena.pdf,Page 23; formal number 28.1,Example,Finite residual role compression,"Let the SR5 survivor ledger contain three anomaly-neutral classes Z1 , Z2 , Z3 . Consider residual candidates R0 , Rgfix , Rvac , Rord , Rch , Ranom . Evaluate each candidate against the flags (Vac, Red, Probe, Prod, Rep, Ch, Anom, Quot, GFix, Ord, Scalar, Def). Suppose R0 passes all flags, Rgfix fails GFix, Rvac fails Vac, Rord fails Ord, Rch fails Ch, and...","Example 28.1 (Finite residual role compression). Let the SR5 survivor ledger contain three anomaly-neutral classes Z1 , Z2 , Z3 . Consider residual candidates R0 , Rgfix , Rvac , Rord , Rch , Ranom . Evaluate each candidate against the flags (Vac, Red, Probe, Prod, Rep, Ch, Anom, Quot, GFix, Ord, Scalar, Def). Suppose R0 passes all flags, Rgfix fails GFix, Rvac fails Vac, Rord fails Ord, Rch fails Ch, and Ranom fails Anom. Then only R0 contributes residual role-rank. The raw count of residual notations is six, while the standing-bearing residual role-rank is one.","Residual_Vacuum_Sector_Rigidity_in_the_Admissible_Gauge_Arena.pdf, p. 23",,Candidate canonical object from source PDF,Physics structural-recovery layer,"Standard Model, gauge, charge, chiral, Yukawa, mass, mixing, phase, holonomy recovery","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, or irreversibility.",,"Provides closure, exhaustion, minimality, uniqueness, maximality, or certificate support.",,"Blocks illicit primitive, repair, surrogate, overreach, compatibility, or standing-laundering moves.","Controls admissible construction or application in a formal, physical, agentic, or engineering regime."
B_role_compression,25,RP-R06-PRO-004,Fields as Persistence Carriers The Minimal Carrier Role of Physical Field Structure under Bounded Perturbation Transport,R6_Fields_as_Persistence_Carriers.pdf,Page 10; formal number 10.2,Proposition,Restriction compatibility,"If V ⪯LCD U , then the carrier profile assigned to V must agree with the restriction of the profile assigned to U on all standing-bearing role components:","Proposition 10.2 (Restriction compatibility). If V ⪯LCD U , then the carrier profile assigned to V must agree with the restriction of the profile assigned to U on all standing-bearing role components:","R6_Fields_as_Persistence_Carriers.pdf, p. 10",,Candidate canonical object from source PDF,Realized physics / metric and propagation layer,"metric-role induction, bounded transport, finite propagation constraint",Applies kernel admissibility/standing/irreversibility to physical realization.,"Constrains interface formation: continuation, locality, comparison, quotient, transport, or boundary behavior.",Supports closure/exclusion/minimality control in the realized-physics arc.,,,Controls admissible physical role construction and identity-preserving deployment.
B_role_compression,21,CL-CLE_Exhaustion_of_Direct_25E1AE-THM-004,"CLE - Exhaustion of Direct Witness Alternatives to Charged-Lepton Mass-Role Structure Witness-Support Closure, Support-to-Selection Nonpromotion, and the Handoff to Family-Index Closure",CLE____Exhaustion_of_Direct_Witness_Alternatives_to_Charged_Lepton_Mass_Role_Structure.pdf,Page 13; formal number 7.1,Theorem,Persistence/Compression Alternative Exhaustion,Generic particle persistence and generic mass-role compression routes are classified as target-support only. They admit and type the mass-role target but do not supply certified direct selection of charged-lepton mass-role structure.,Theorem 7.1 (Persistence/Compression Alternative Exhaustion). Generic particle persistence and generic mass-role compression routes are classified as target-support only. They admit and type the mass-role target but do not supply certified direct selection of charged-lepton mass-role structure.,"CLE____Exhaustion_of_Direct_Witness_Alternatives_to_Charged_Lepton_Mass_Role_Structure.pdf, p. 13",,Candidate canonical object from source PDF,Physics structural-recovery layer,"Standard Model, gauge, charge, chiral, Yukawa, mass, mixing, phase, holonomy recovery",,,"Provides closure, exhaustion, minimality, uniqueness, maximality, or certificate support.",,,"Controls admissible construction or application in a formal, physical, agentic, or engineering regime."
