component,score,is_preferred_hardened,version_preference_status,preferred_source_date,hardened_batch,source_id,paper_title,source_file,section_or_page,object_type,object_name,short_claim_summary,verbatim_or_near_verbatim_claim,canonical_formulation,licenses,forbids,dependencies,downstream_uses,paper_insertion_targets,AASC_family,AASC_subfamily,referee_risk,matched_terms
primitive_negative_endpoint_blocker,185,YES,Preferred hardened version,2026-05-27 upload; individual PDF modified dates preserved in archive,New erk files May 27.zip,ERK20260527-New_erk_files_May_AF0C6B-THM-001,Claim Standing and Legitimacy A Universal Audit Protocol for Laundering Exclusion and Reportable Output,New_erk_files_May_27_Claim_Standing_and_Legitimacy.pdf,Page 14; formal number 4.4,Theorem,Claim-Failure Coordinate Exhaustion,"Let v be any non-skin variation of a pre-audit frame Fc . If v can change the strongest defensible report status of c, then v alters at least one coordinate of (T, C, S, R, A, D, E, P, U ). Equivalently, any status-relevant claim failure must appear as target failure, carrier failure, semantic failure, representative/redescription failure,...","Theorem 4.4 (Claim-Failure Coordinate Exhaustion). Let v be any non-skin variation of a pre-audit frame Fc . If v can change the strongest defensible report status of c, then v alters at least one coordinate of (T, C, S, R, A, D, E, P, U ). Equivalently, any status-relevant claim failure must appear as target failure, carrier failure, semantic failure, representative/redescription failure, ancestry/calibration failure, domain/scope/boundary failure, evidence-network failure, report/use failure, or requested-status failure.",Claim-Failure Coordinate Exhaustion,kernel-consistent AASC deployment; closure-controlled downstream use; gated admissibility evaluation,"ungated scope transport or modality laundering; unlicensed numerical fit, parameter import, or empirical value laundering",As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; closure/exhaustion/rigidity mapping; gate/validator architecture,kernel/interface synthesis; closure/exhaustion/rigidity mapping; gate/validator architecture,AI / epistemic-agent / governance layer,"AI claim standing, success-vs-truth, validator, agent instantiation, liability",High value for numerical/parameter/metric overclaim firewall control,claim failure
primitive_negative_endpoint_blocker,185,YES,Preferred hardened version,2026-05-27 upload; individual PDF modified dates preserved in archive,New erk files May 27.zip,ERK20260527-New_erk_files_May_3D011A-DEF-050,"Forty-Two Exhaustion, Closure, and Downstream Consequence",New_erk_files_May_27_Forty-Two.pdf,Page 84; formal number 10.3,Definition,Downstream internal problem solution,"A downstream internal problem solution begins only after a closure theorem is already fixed and then uses that theorem to eliminate, transport, or classify the remaining licit endpoint statuses on a specific carrier. It may be theorem-heavy, but it does not function as the proof source of the foundational closure theorem from which it starts.","Definition 10.3 (Downstream internal problem solution). A downstream internal problem solution begins only after a closure theorem is already fixed and then uses that theorem to eliminate, transport, or classify the remaining licit endpoint statuses on a specific carrier. It may be theorem-heavy, but it does not function as the proof source of the foundational closure theorem from which it starts.",Downstream internal problem solution,closure-controlled downstream use,"Do not use outside fixed scope, as a free generator, or as an unlicensed cross-arc transport.",As declared or implied in source object; dependency normalization pending.,closure/exhaustion/rigidity mapping,closure/exhaustion/rigidity mapping,Closure / impossibility / exhaustion layer,"closure, exhaustion, impossibility, no-repair, no-generator, no-carrier control",Normal formal-object audit risk,endpoint status
primitive_negative_endpoint_blocker,185,YES,Preferred hardened version,2026-05-27 upload; individual PDF modified dates preserved in archive,New erk files May 27.zip,ERK20260527-New_erk_files_May_3D011A-PRO-017,"Forty-Two Exhaustion, Closure, and Downstream Consequence",New_erk_files_May_27_Forty-Two.pdf,Page 88; formal number 10.12,Proposition,Endpoint-hygiene placement of the Yang-Mills roadmap,"The Yang-Mills materials retain theorem-roadmap status inside the capstone because the source cluster already fixes the theorem-level object, the exact endpoint boundaries, the role of qualitative faithful-Wilson universality, the ρ-indexed status of the explicit quantitative ledger, and the exclusion of nonlocal sectors from the theorem claim.","Proposition 10.12 (Endpoint-hygiene placement of the Yang-Mills roadmap). The Yang-Mills materials retain theorem-roadmap status inside the capstone because the source cluster already fixes the theorem-level object, the exact endpoint boundaries, the role of qualitative faithful-Wilson universality, the ρ-indexed status of the explicit quantitative ledger, and the exclusion of nonlocal sectors from the theorem claim.",Endpoint-hygiene placement of the Yang-Mills roadmap,closure-controlled downstream use,"unlicensed numerical fit, parameter import, or empirical value laundering",As declared or implied in source object; dependency normalization pending.,closure/exhaustion/rigidity mapping,closure/exhaustion/rigidity mapping,Closure / impossibility / exhaustion layer,"closure, exhaustion, impossibility, no-repair, no-generator, no-carrier control",High value for numerical/parameter/metric overclaim firewall control,exact endpoint
primitive_negative_endpoint_blocker,185,YES,Preferred hardened version,2026-05-27 upload; individual PDF modified dates preserved in archive,New erk files May 27.zip,ERK20260527-New_erk_files_May_41605D-DEF-003,The AMetric Boundary as a Unique Regime-Invariant Constraint on Admissibility-Bearing Construction,New_erk_files_May_27_The_AMetric_Boundary_as_a_Unique_Regime_Invariant_Constraint_on_Admissibility_Bearing_Construction.pdf,Page 5; formal number 2.6,Definition,Coherent legal trajectory,Fix a typed domain D. A legal trajectory is a finite same-domain history whose adjacent transitions are licensed. It is coherent precisely when every state on the retained trajectory is standing-positive. A retained trajectory containing a standing-negative state has already collapsed and cannot be restored by admissible continuation inside the same lineage.,Definition 2.6 (Coherent legal trajectory). Fix a typed domain D. A legal trajectory is a finite same-domain history whose adjacent transitions are licensed. It is coherent precisely when every state on the retained trajectory is standing-positive. A retained trajectory containing a standing-negative state has already collapsed and cannot be restored by admissible continuation inside the same lineage.,Coherent legal trajectory,kernel-consistent AASC deployment; interface-safe reconstruction; closure-controlled downstream use; gated admissibility evaluation; typed AASC construction under fixed scope,"ungated scope transport or modality laundering; primitive reification, compatibility-only promotion, or post-hoc repair; unlicensed numerical fit, parameter import, or empirical value laundering",As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; AMetric/interface/interior arcs; closure/exhaustion/rigidity mapping; gate/validator architecture; Impossibility Suite / boundary blockers; residue/discrete constraint arcs,kernel/interface synthesis; AMetric/interface/interior arcs; closure/exhaustion/rigidity mapping; gate/validator architecture; Impossibility Suite / boundary blockers; residue/discrete constraint arcs,AMetric / interface / interior layer,"AMetric Boundary, bivalence, admissible interior, regime-invariant interface control",High value for numerical/parameter/metric overclaim firewall control,standing-negative
primitive_negative_endpoint_blocker,185,YES,Preferred hardened version,2026-05-27 upload; individual PDF modified dates preserved in archive,New erk files May 27.zip,ERK20260527-New_erk_files_May_41605D-DEF-042,The AMetric Boundary as a Unique Regime-Invariant Constraint on Admissibility-Bearing Construction,New_erk_files_May_27_The_AMetric_Boundary_as_a_Unique_Regime_Invariant_Constraint_on_Admissibility_Bearing_Construction.pdf,Page 27; formal number 5.18,Definition,Standing at the boundary,"Standing at the boundary is the authorization status assigned to a coherently classified object indicating whether it is eligible to enter admissible construction. By Theorem 4.36, standing has exactly two values on the evaluated fragment (standing-positive / standing-negative), and standing determination is single-shot and terminal (no revision or repair...","Definition 5.18 (Standing at the boundary). Standing at the boundary is the authorization status assigned to a coherently classified object indicating whether it is eligible to enter admissible construction. By Theorem 4.36, standing has exactly two values on the evaluated fragment (standing-positive / standing-negative), and standing determination is single-shot and terminal (no revision or repair is defined at the boundary).",Standing at the boundary,kernel-consistent AASC deployment; interface-safe reconstruction; closure-controlled downstream use; gated admissibility evaluation; typed AASC construction under fixed scope,"ungated scope transport or modality laundering; unlicensed numerical fit, parameter import, or empirical value laundering",As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; AMetric/interface/interior arcs; closure/exhaustion/rigidity mapping; gate/validator architecture,kernel/interface synthesis; AMetric/interface/interior arcs; closure/exhaustion/rigidity mapping; gate/validator architecture,AMetric / interface / interior layer,"AMetric Boundary, bivalence, admissible interior, regime-invariant interface control",High value for numerical/parameter/metric overclaim firewall control,standing-negative
primitive_negative_endpoint_blocker,185,YES,Preferred hardened version,2026-05-27 upload; individual PDF modified dates preserved in archive,New erk files May 27.zip,ERK20260527-New_erk_files_May_8B37FD-LEM-001,"The Bivalence Theorem for Non-Degenerate Construction Standing Conservation, Governance Necessity, and Local Closure",New_erk_files_May_27_The_Bivalence_Theorem_for_Non_Degenerate_Construction.pdf,Page 6; formal number 3.1,Lemma,No Same-Act Repair,"In any same-domain regime satisfying Reference, Standing, and Irreversibility, no attempted repair of an act already evaluated as standing-negative can succeed while preserving that act as the same standing-bearing act.","Lemma 3.1 (No Same-Act Repair). In any same-domain regime satisfying Reference, Standing, and Irreversibility, no attempted repair of an act already evaluated as standing-negative can succeed while preserving that act as the same standing-bearing act.",No Same-Act Repair,kernel-consistent AASC deployment; interface-safe reconstruction; closure-controlled downstream use; typed AASC construction under fixed scope,"Do not use outside fixed scope, as a free generator, or as an unlicensed cross-arc transport.",As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; AMetric/interface/interior arcs; closure/exhaustion/rigidity mapping,kernel/interface synthesis; AMetric/interface/interior arcs; closure/exhaustion/rigidity mapping,Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility",Normal formal-object audit risk,standing-negative
primitive_negative_endpoint_blocker,185,YES,Preferred hardened version,2026-05-27 upload; individual PDF modified dates preserved in archive,New erk files May 27.zip,ERK20260527-New_erk_files_May_8B37FD-COR-003,"The Bivalence Theorem for Non-Degenerate Construction Standing Conservation, Governance Necessity, and Local Closure",New_erk_files_May_27_The_Bivalence_Theorem_for_Non_Degenerate_Construction.pdf,Page 9; formal number 3.7,Corollary,No Generators,There is no same-domain operation that produces a standingpositive act from a standing-negative act as a consequence of the negative act alone and without fresh prior gating.,Corollary 3.7 (No Generators). There is no same-domain operation that produces a standingpositive act from a standing-negative act as a consequence of the negative act alone and without fresh prior gating.,No Generators,kernel-consistent AASC deployment; interface-safe reconstruction; closure-controlled downstream use; typed AASC construction under fixed scope,"unlicensed numerical fit, parameter import, or empirical value laundering",As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; AMetric/interface/interior arcs; closure/exhaustion/rigidity mapping,kernel/interface synthesis; AMetric/interface/interior arcs; closure/exhaustion/rigidity mapping,Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility",High value for numerical/parameter/metric overclaim firewall control,standing-negative
primitive_negative_endpoint_blocker,185,YES,Preferred hardened version,2026-05-27 upload; individual PDF modified dates preserved in archive,New erk files May 27.zip,ERK20260527-New_erk_files_May_1C2D3F-REM-001,The Structure of Coherent Construction: A Bivalent Trajectory Theory,New_erk_files_May_27_The_Structure_of_Coherent_Construction__A_Bivalent_Trajectory_Theory.pdf,Page 5; formal number 2.8,Remark,Move license does not imply standing preservation,"The relation ⇝ classifies construction-step forms, not already-certified standing outcomes. We do not assume that x ⇝ y ⇒ S(x) or x ⇝ y ⇒ S(y). A licensed same-scope step may therefore terminate in a standing-negative state. This is what makes legal-but-incoherent trajectories available for study and prevents coherence from being built into legality.","Remark 2.8 (Move license does not imply standing preservation). The relation ⇝ classifies construction-step forms, not already-certified standing outcomes. We do not assume that x ⇝ y ⇒ S(x) or x ⇝ y ⇒ S(y). A licensed same-scope step may therefore terminate in a standing-negative state. This is what makes legal-but-incoherent trajectories available for study and prevents coherence from being built into legality.",Move license does not imply standing preservation,kernel-consistent AASC deployment; gated admissibility evaluation; typed AASC construction under fixed scope,"ungated scope transport or modality laundering; primitive reification, compatibility-only promotion, or post-hoc repair",As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; gate/validator architecture; Impossibility Suite / boundary blockers,kernel/interface synthesis; gate/validator architecture; Impossibility Suite / boundary blockers,Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility",Normal formal-object audit risk,standing-negative
primitive_negative_endpoint_blocker,35,NO,,,,MIL-MILLENNIUM_ZIP_Carrier_Universalit_9AAFB1-REM-018,Carrier Universality and Global Smoothness for the Periodic 3D Navier-Stokes Equations A closure-induced impossibility proof of Feffermanś periodic statement (B),MILLENNIUM_ZIP_Carrier_Universality_and_Global_Smoothness_for_the_Periodic_3D_Navier_Stokes_Equations.pdf,Page 57; formal number 13.16,Remark,How the finite typed packet fits the later endpoint-status trichotomy,"The packet 13.5E-13.5L acts only on standing-positive same-scope candidate determinations on the standard periodic carrier. It is not asserted here to absorb terminal standing failure or any standing-negative endpoint. The standing-failure branch is isolated only later, by the realized-lineage endpoint-status trichotomy / collapse of Part III; the role of 13.5E-13.5L is to...","Remark 13.16 (How the finite typed packet fits the later endpoint-status trichotomy). The packet 13.5E-13.5L acts only on standing-positive same-scope candidate determinations on the standard periodic carrier. It is not asserted here to absorb terminal standing failure or any standing-negative endpoint. The standing-failure branch is isolated only later, by the realized-lineage endpoint-status trichotomy / collapse of Part III; the role of 13.5E-13.5L is to make the standing-positive branch finite before that later theorem-local collapse is invoked.",How the finite typed packet fits the later endpoint-status trichotomy,kernel-consistent AASC deployment; closure-controlled downstream use; gated admissibility evaluation; typed AASC construction under fixed scope,"ungated scope transport, route confusion, or modality laundering; primitive reification, compatibility-only promotion, sector laundering, or post-hoc repair; unlicensed numerical fit, analytic bridge import, parameter import, or empirical value laundering",As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; closure/exhaustion/rigidity mapping; gate/validator architecture; Impossibility Suite / boundary blockers; residue/discrete/sector/global-form constraint arcs; Navier-Stokes / Millennium / analytic carrier arcs,kernel/interface synthesis; closure/exhaustion/rigidity mapping; gate/validator architecture; Impossibility Suite / boundary blockers; residue/discrete/sector/global-form constraint arcs; Navier-Stokes / Millennium / analytic carrier arcs,Closure / impossibility / exhaustion layer,"closure, exhaustion, impossibility, no-repair, no-generator, no-carrier control",High value for numerical/analytic/parameter/metric overclaim firewall control,failure branch | negative endpoint | standing-negative
primitive_negative_endpoint_blocker,25,NO,,,,MIL-MILLENNIUM_ZIP_Carrier_Universalit_9AAFB1-LEM-028,Carrier Universality and Global Smoothness for the Periodic 3D Navier-Stokes Equations A closure-induced impossibility proof of Feffermanś periodic statement (B),MILLENNIUM_ZIP_Carrier_Universality_and_Global_Smoothness_for_the_Periodic_3D_Navier_Stokes_Equations.pdf,Page 76; formal number 16.3,Lemma,makes the quotient-visible branch standing-negative,makes the quotient-visible branch standing-negative. This is exactly the claimed dichotomy.,Lemma 16.3 makes the quotient-visible branch standing-negative. This is exactly the claimed dichotomy.,makes the quotient-visible branch standing-negative,kernel-consistent AASC deployment; interface-safe reconstruction; closure-controlled downstream use; typed AASC construction under fixed scope,"primitive reification, compatibility-only promotion, sector laundering, or post-hoc repair; unlicensed numerical fit, analytic bridge import, parameter import, or empirical value laundering",As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; AMetric/interface/interior arcs; closure/exhaustion/rigidity mapping; Impossibility Suite / boundary blockers; Navier-Stokes / Millennium / analytic carrier arcs,kernel/interface synthesis; AMetric/interface/interior arcs; closure/exhaustion/rigidity mapping; Impossibility Suite / boundary blockers; Navier-Stokes / Millennium / analytic carrier arcs,Closure / impossibility / exhaustion layer,"closure, exhaustion, impossibility, no-repair, no-generator, no-carrier control",High value for numerical/analytic/parameter/metric overclaim firewall control,standing-negative
